Address,Price,Sold Date,Agent Phone
"1095 BRIXWORTH DR, Spring Hill (701), TN","$480,000",2025-12-09,N/A
"1915 AMACHER DR, Spring Hill (701), TN","$121,000",2025-11-24,N/A
"N BERRYS CHAPEL RD, Unincorporated (000), TN",TR2,2025-12-02,N/A
"4219 TWO RIVERS LN, Unincorporated (000), TN","$112,000",2025-11-21,N/A
"5100 AUNT NANNIES PLACE, Nolensville (535), TN","$4,120,000",2025-11-06,N/A
"2077 RODERICK CIR, Franklin (263264), TN","$39,000",2025-10-29,N/A
"175 STURBRIDGE DR, Franklin (263264), TN","$67,000",2025-10-29,N/A
"4136 BANNER SQUARE LN, Unincorporated (000), TN","$625,000",2025-12-17,N/A
"3161 LANGLEY DR, Franklin (263967), TN","$3,141,000",2025-12-16,N/A
"310 BILLINGSLY CT 100, Franklin (263967), TN",N/A,2025-12-05,N/A
"310 BILLINGSLY CT 100, Franklin (263967), TN",N/A,2025-12-05,N/A
"1520 FRANKLIN RD, Brentwood (086), TN",N/A,2025-10-20,N/A
"344 WHITEWATER WAY, Franklin (263967), TN","$158,000",2025-11-07,N/A
"1554 SUNSET RD, Brentwood (086), TN",N/A,2025-12-03,N/A
"1312 TRENTON LN, Franklin (263967), TN","$193,000",2025-11-15,N/A
"1305 CHAPMAN CT, Spring Hill (701), TN","$58,000",2025-12-02,N/A
"229 STANLEY PARK DR, Franklin (263967), TN","$2,069,000",2025-10-30,N/A
"TURNSTONE TR, Spring Hill (701), TN",OPEN SPACE G,2025-11-28,N/A
"SORRELL PARK DR, Spring Hill (701), TN",OPEN SPACE,2025-11-28,N/A
"WITT WAY DR, Spring Hill (701), TN",OPEN SPACE F,2025-11-28,N/A
"SORRELL PARK DR, Spring Hill (701), TN",OPEN SPACE,2025-11-28,N/A
"TURNSTONE TR, Spring Hill (701), TN",OPEN SPACE G,2025-11-28,N/A
"WITT WAY DR, Spring Hill (701), TN",OPEN SPACE F,2025-11-28,N/A
"1031 CHAMPIONSHIP BLVD, Franklin (263967), TN","$2,733,000",2025-10-21,N/A
"8345 SOLSTICE DR, Unincorporated (000), TN","$17,019",2025-12-15,N/A
"2627 COUNTRY HAVEN DR, Thompson's Station (718), TN","$27,000",2025-12-03,N/A
"4514 HARPETH SCHOOL RD, Unincorporated (000), TN",TR 3,2025-11-25,N/A
"2130 CARLTON LN, Spring Hill (701), TN","$38,000",2025-12-05,N/A
"1840 DARTMOUTH DR, Brentwood (086), TN","$6,000",2025-12-16,N/A
"6077 PASQUO RD, Unincorporated (000), TN","$712,000",2025-10-28,N/A
"320 LIBERTY PK #205, Franklin (263264), TN","$205,000",2025-10-24,N/A
"2054 TOWNSHIP PVT DR, Franklin (263264), TN",N/A,2025-11-03,N/A
"2019 OGLETHORPE DR, Franklin (263967), TN","$560,000",2025-11-04,N/A
"2025 ERWIN ST, Franklin (263967), TN","$1,976,000",2025-11-03,N/A
"8033 ATLEE CT, Unincorporated (000), TN",N/A,2025-10-14,N/A
"8224 ASHBURY CT, Unincorporated (000), TN","$448,000",2025-12-09,N/A
"4202 PEYT-TRINITY RD, Unincorporated (000), TN",N/A,2025-12-03,N/A
